layer,acc_jlens,acc_logitlens,kurtosis_jlens,kurtosis_logitlens,in_injection_band,is_read_layer
0,0.002739726100116968,0.001369863050058484,3.582448959350586,0.17639091610908508,0,0
1,0.001369863050058484,0.001369863050058484,3.4539198875427246,0.17540539801120758,0,0
2,0.001369863050058484,0.001369863050058484,2.2659173011779785,0.19348135590553284,0,0
3,0.001369863050058484,0.004109588917344809,5.359460353851318,0.22836372256278992,0,0
4,0.001369863050058484,0.005479452200233936,1.215108036994934,0.2639334201812744,0,0
5,0.0,0.006849315017461777,1.4056501388549805,0.2913654148578644,0,0
6,0.001369863050058484,0.005479452200233936,1.4173915386199951,0.31293168663978577,0,0
7,0.001369863050058484,0.006849315017461777,1.4815168380737305,0.31915587186813354,0,0
8,0.001369863050058484,0.005479452200233936,1.3244808912277222,0.2986677885055542,0,0
9,0.0,0.004109588917344809,1.4366650581359863,0.3007363975048065,0,0
10,0.0,0.006849315017461777,1.4684103727340698,0.31208574771881104,0,0
11,0.002739726100116968,0.009589040651917458,1.299423336982727,0.30934980511665344,0,0
12,0.001369863050058484,0.008219177834689617,1.6431158781051636,0.31427475810050964,1,0
13,0.002739726100116968,0.012328767217695713,1.3018479347229004,0.30031344294548035,1,0
14,0.001369863050058484,0.012328767217695713,1.2593351602554321,0.2870749831199646,1,0
15,0.004109588917344809,0.008219177834689617,1.0919065475463867,0.28229981660842896,0,0
16,0.002739726100116968,0.009589040651917458,1.1891518831253052,0.28819963335990906,0,0
17,0.006849315017461777,0.009589040651917458,1.0969399213790894,0.2919866740703583,0,0
18,0.005479452200233936,0.02054794505238533,0.8924948573112488,0.3030717074871063,0,0
19,0.008219177834689617,0.02328767068684101,0.9438530802726746,0.30030950903892517,0,0
20,0.009589040651917458,0.027397260069847107,0.8420437574386597,0.3073146343231201,0,0
21,0.008219177834689617,0.030136985704302788,0.8630114197731018,0.3215290606021881,0,0
22,0.02054794505238533,0.04383561760187149,0.875617265701294,0.36242127418518066,0,1
23,0.04657534137368202,0.06164383515715599,0.9413596987724304,0.485408753156662,0,0
24,0.06301369518041611,0.06849315017461777,0.9571549892425537,0.5344362258911133,0,0
25,0.06986301392316818,0.08356164395809174,0.9755001664161682,0.5988165736198425,0,0
26,0.08767123520374298,0.09178081899881363,1.047260046005249,0.6668909192085266,0,0
27,0.09726027399301529,0.1068493127822876,1.2137260437011719,0.7791560888290405,0,0
28,0.12191780656576157,0.11369863152503967,1.4569751024246216,1.0599279403686523,0,0
29,0.13150684535503387,0.12876711785793304,1.7791259288787842,1.2993495464324951,0,0
30,0.15479451417922974,0.14657534658908844,1.9229769706726074,1.449090838432312,0,0
31,0.18904109299182892,0.1698630154132843,2.0601232051849365,1.7716810703277588,0,0
32,0.2054794579744339,0.19315068423748016,1.9195045232772827,1.7494630813598633,0,0
33,0.25479450821876526,0.2657534182071686,1.6706676483154297,1.753912091255188,0,0
34,0.27397260069847107,0.29863014817237854,1.5040377378463745,1.5668734312057495,0,0
